Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
115742354,"2025-10-17 07:49:37",buy,2.42,GBPUSD,1.34607000,1.34666,1.34819000,"2025-10-17 08:05:36",1.34666000,0,-12.1,142.78000000,5.9,959
115740898,"2025-10-17 07:15:01",buy,1.8,GBPUSD,1.34587000,1.34595,0,"2025-10-17 07:48:45",1.34595000,0,-9,14.40000000,0.8,2024
115736855,"2025-10-17 07:05:05",buy,1.9,GBPUSD,1.34563000,1.345,0,"2025-10-17 07:06:34",1.34547000,0,-9.5,-30.40000000,-1.6,89
115736222,"2025-10-17 06:56:14",buy,1,GBPUSD,1.34524000,0,0,"2025-10-17 06:56:21",1.34515000,0,-5,-9.00000000,-0.9,7
115179599,"2025-10-13 10:27:11",sell,1.67,GBPUSD,1.33221000,1.33357,1.32743000,"2025-10-13 10:28:44",1.33224000,0,-8.36,-5.01000000,-0.3,93
115173211,"2025-10-13 09:22:03",sell,1.04,EURUSD,1.16074000,1.16286,1.15624000,"2025-10-13 09:32:15",1.16109000,0,-5.2,-36.40000000,-3.5,612
114488317,"2025-10-06 12:33:39",buy,1.82,GBPUSD,1.34343000,1.3422,1.34570000,"2025-10-06 12:59:59",1.34217000,0,-9.1,-229.32000000,-12.6,1580
113413869,"2025-09-23 11:08:42",sell,2.7,GBPUSD,1.35019000,1.35103,1.34848000,"2025-09-23 11:17:57",1.35103000,0,-8.1,-226.80000000,-8.4,555
113227065,"2025-09-19 11:43:46",sell,2.42,GBPUSD,1.35099000,1.35083,1.34993000,"2025-09-19 12:57:25",1.34992000,0,-7.26,258.94000000,10.7,4419
